trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.29624816019047,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-120.25691022766794,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-259.4039716354757,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-198.65390303347993,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,16,-105.41505402209997,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-51.67993110056072,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-125.97891939245149,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-6.237468360410237,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,12,-47.26089853725058,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,8,-9.858027593399125,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,9,-8.139169712649458,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,-65.26023514406775,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,-27.983293162954823,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-42.32025686149739,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-56.843894972096535,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,2,-10.661860805718309,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,11,2.6222693537163573,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-30.447821473517358,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,26.629806297477995,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,18.210476602753097,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,3,28.89805959159775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,16,16.282777731561193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-52.82816869669611,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,12,16.469305901654735,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,16,18.64108117257625,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-36.26138316927606,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,6,-27.092706817281854,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,1,-64.62391978656352,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,16,7.163685710897412,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-71.3677895052825,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
