trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.7080700573116,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9936}",20,7,-69.06620848097972,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9872}",20,0,-94.46203595180253,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9808}",20,0,-123.58116949638965,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9744}",25,0,-136.38436064898926,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.968}",30,0,-95.94754582709463,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9616}",20,0,-92.31014878423677,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9552}",35,13,-31.214410695287526,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9488}",20,0,-156.0374553068944,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9424}",20,0,-31.86058484469151,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9359999999999999}",20,0,-141.83670634145096,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9296}",20,0,-90.51947737619656,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9232}",30,0,-82.62201350038863,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
