trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.39698021274774,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-174.76734265271782,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.85}",20,0,-79.61908316251795,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7}",20,0,-89.99906743919257,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.49999999999999994}",20,0,-115.18550239352412,"{0: 7, 1: 8, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.24999999999999994}",25,0,-126.69822166711106,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': -0.0500000000000001}",20,0,-105.69565559515473,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': -0.40000000000000013}",20,0,-131.56051637565747,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': -0.8000000000000002}",30,0,-234.2696363632353,"{0: 13, 1: 9, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': -1.2500000000000002}",20,0,-223.88280762062178,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': -1.7500000000000002}",30,0,-172.05322862771175,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': -2.3000000000000003}",30,0,-151.60919128974695,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': -2.9000000000000004}",30,0,-139.86288968502376,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': -3.5500000000000003}",20,0,-146.33103769456528,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': -4.25}",25,0,-13.546499924997669,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': -5.0}",30,0,-136.5028110123715,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': -5.8}",25,12,-65.86497076641777,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': -6.65}",25,0,-132.85364839206545,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': -7.550000000000001}",25,0,-63.30572595189101,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -8.5}",25,0,-134.64574292063355,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
